../bba/Slam_After_Major_Fit.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  6H-S                    KT2.AQJ7.KT32.43 J53.9.976.KJT876 AQ8.T8652.AQ54.A 9764.K43.J8.Q952 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5S-P-6D=4=-P-6H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5 | !H queen and !D king
337   S  6S-S                    AKT.A6.875.AQJ74 9832.84.KJT943.6 QJ765.KQ75.Q.K98 4.JT932.A62.T532 | 1S-P-2C-P-2H-P-2S-P-3C-P-3S-P-4D-P-4N-P-5C=1=-P-5D-P-5H=2=-P-6S | A=0/5 or 3/5 | !S queen and !H king
338   S  4S-S                    KJ74.J.AKQ3.Q974 QT.KT763.T872.T8 A6532.Q84.J6.AK6 98.A952.954.J532 | 1S-P-4H=1=-P-4S | Splinter
339   S  6S-S                    KJ6.J86.KQJ.KT83 T742.A432.T63.Q4 AQ985.KT5.A4.AJ2 3.Q97.98752.9765 | 1S-P-2C-P-3N-P-6S
340   S  4H-S                    973.AK3.K92.KT74 AQ86.J82.JT74.92 K2.QT974.A8.AQJ5 JT54.65.Q653.863 | 1H-P-3N-P-4C-P-4H
341   S  4H-S                    T97.AQ5.K2.QJ432 Q543.J73.AT96.96 AK8.KT642.J8.AKT J62.98.Q7543.875 | 1H-P-1N=1=-P-2N-P-4H | Forcing 1NT
342   S  6H-S                    AKJ.J863.AKJ.A54 T7652.42.T962.Q6 Q3.AQ975.Q8.KJ72 984.KT.7543.T983 | 1H-P-2N=1=-P-3N-P-6H | Jacoby 2NT
343   S  4S-S                    985.Q.K43.KQ9865 32.9876542.Q82.3 AKQ76.J3.A65.AJ2 JT4.AKT.JT97.T74 | 1S-P-1N=1=-P-3N-P-4S | Forcing 1NT
344   S  6S-S                    AJ62.K9.J852.AQ5 74.QT6432.KT.T82 K9853.A85.AQ9.J6 QT.J7.7643.K9743 | 1S-P-2N=1=-P-3N-P-4C-P-4D-P-4N-P-5C=2=-P-5D-P-5S=3=-P-6S | Jacoby 2NT | A=0/5 or 3/5 | No !S queen
345   S  5H-S                    KQ62.QT73.AQ8.Q3 8743.6.J92.J9854 T.AKJ854.KT53.KT AJ95.92.764.A762 | 1H-P-2N=1=-P-3S=2=-P-3N-P-4N-P-5D=3=-P-5H | Jacoby 2NT | Shortness  !S | A=1/5 or 4/5
346   S  6S-S                    QJT.K43.AJ9.KQ54 642.JT8.Q6543.97 AK873.AQ52.82.A2 95.976.KT7.JT863 | 1S-P-2C-P-3H-P-3S-P-4C-P-4D-P-4N-P-5D=1=-P-5H-P-6C=2=-P-6S | A=1/5 or 4/5 | !S queen and !C king
347   S  6H-S                    KQJT76.AKQ2.J.JT 3.6.Q9832.KQ8642 A95.J8753.KT5.A3 842.T94.A764.975 | 1H-P-2N=1=-P-4H-P-4N-P-5H=2=-P-6H | Jacoby 2NT | A=2/5 or 5/5, Q(H)=0
348   S  6H-S                    AQ32.KT7.T.AKJ97 98.43.J87642.652 KT4.AQJ985.Q95.Q J765.62.AK3.T843 | 1H-P-2C-P-3H-P-4N-P-5D=1=-P-5S-P-5N=2=-P-6H | A=1/5 or 4/5 | !H queen no !C king no !D king
349   S  6H-S                    AQ985.A64.QT873. KT4.J72.96.KQ532 .KQ985.AKJ2.A874 J7632.T3.54.JT96 | 1H-P-1S-P-2C-P-4H-P-5H-P-6H
350   S  7S-S                    AJ95.AK87.K86.A8 4.T65.T97.QT9762 KQT873.92.AQ52.K 62.QJ43.J43.J543 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4C-P-4H-P-4N-P-5C=3=-P-5N=4=-P-6H=5=-P-7S | Jacoby 2NT | Shortness  !C | A=0/5 or 3/5 | King ask by 5NT | K=2
351   S  6H-S                    76.A73.AQ532.A97 QT.KJ92.JT7.JT86 AKJ8.QT864.K9.Q5 95432.5.864.K432 | 1H-P-2D-P-2S-P-3H-P-3S-P-4C-P-4H-P-4N-P-5D=1=-P-5S-P-6D=2=-P-6H | A=1/5 or 4/5 | !H queen and !D king
352   S  6H-S                    JT94.K986.AK4.K9 85.74.QJT5.JT852 KQ6.AQJ532.72.A7 A732.T.9863.Q643 | 1H-P-2N=1=-P-3H-P-3N-P-4C-P-4D-P-4N-P-5H=2=-P-6H | Jacoby 2NT | A=2/5 or 5/5, Q(H)=0
353   S  6S-S                    AJ4.97.52.AKQ432 8753.KQ8.QT98.T7 KQ962.A63.AK74.8 T.JT542.J63.J965 | 1S-P-2C-P-3D-P-3S-P-3N-P-4C-P-4D-P-4N-P-5C=1=-P-6S | A=0/5 or 3/5
354   S  6H-S                    K54.Q74.AQ53.AJ5 A973.9.94.QT8432 Q6.AKT532.K2.K96 JT82.J86.JT876.7 | 1H-P-2D-P-3H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
355   S  6S-S                    AJ3.Q52.KT4.AK82 K2.T64.9862.T943 QT986.AJ98.AJ.QJ 754.K73.Q753.765 | 1S-P-2C-P-3H-P-3S-P-4S-P-4N-P-5S=1=-P-6S | A=2/5 or 5/5, Q(S)=1
356   S  4H-N                    QT3.AKQ654.85.73 AJ.JT3.J7643.Q84 K6542.72.AK9.AKJ 987.98.QT2.T9652 | 1S-P-1N=1=-P-2N-P-4H | Forcing 1NT
357   S  4H-S                    AKQJ6.KQT.5.8754 T2.7.AT973.KT932 75.AJ842.KQJ4.QJ 9843.9653.862.A6 | 1H-P-1S-2N=1=-P-3D-4C=2=-P-4H | Unusual 2NT | Limit raise or better in !H
358   S  6H-S                    KQ74.K543.JT.A73 853.9.8754.JT965 A6.AQJ8762.AQ.Q2 JT92.T.K9632.K84 | 1H-P-2N=1=-P-3H-P-3S-P-4D-P-4N-P-5C=2=-P-5D-P-5N=3=-P-6H | Jacoby 2NT | A=0/5 or 3/5 | !H queen no !S king no !C king no !D king
359   S  6S-S                    AKQT6.J85.K.A853 7.T96.JT8642.764 98532.AK3.A73.QJ J4.Q742.Q95.KT92 | 1S-P-2N=1=-P-3N-P-4C-P-4D-P-4H-P-4S-P-4N-P-5H=2=-P-6S | Jacoby 2NT | A=2/5 or 5/5, Q(S)=0
360   S  6H-S                    A84.J953.AJ.AT94 JT963.4.K9754.J3 K52.AKQT2.Q3.K65 Q7.876.T862.Q872 | 1N-P-2C=1=-P-2H-P-3S-P-4C-P-4N-P-5S=2=-P-6H | Stayman | A=2/5 or 5/5, Q(H)=1
361   S  6H-S                    AJ753.K93.AQ8.J5 QT98.74.T9743.87 K4.AQJ85.K6.KQ62 62.T62.J52.AT943 | 1H-P-1S-P-3C-P-3D=1=-P-3N-P-6H | Fourth suit game force
362   S  6H-S                    A765.AKQ7.A3.KJ2 T82.T9.Q954.9765 KJ.J8642.JT76.AQ Q943.53.K82.T843 | 1H-P-2N=1=-P-4H-P-4N-P-5D=2=-P-5N=3=-P-6D=4=-P-6H | Jacoby 2NT | A=1/5 or 4/5 | King ask by 5NT | K=1
363   S  3N-S                    AT6.KQ6.T932.QJ5 KQ3.T9.A86.98732 972.AJ843.KQ5.AK J854.752.J74.T64 | 1N-P-3N
364   S  6H-S                    QJ873.AK82.A7.93 965.3.QT9653.KT8 AT.QJT64.K4.AQJ2 K42.975.J82.7654 | 1H-P-2N=1=-P-3H-P-3N-P-4N-P-5C=2=-P-5N=3=-P-6C=4=-P-6H | Jacoby 2NT | A=0/5 or 3/5 | King ask by 5NT | K=0
365   S  6H-S                    Q5.A75.J2.AK8752 J97.J6.K8763.J63 AT84.KQT82.A94.Q K632.943.QT5.T94 | 1H-P-2C-P-2S-P-3H-P-3S-P-4C-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
366   S  6S-S                    AQ3.AT652.K9.A93 2.983.JT862.J862 KJ854.K4.AQ54.Q7 T976.QJ7.73.KT54 | 1S-P-2H-P-3D-P-3S-P-3N-P-4N-P-5H=1=-P-5N=2=-P-6D=3=-P-6S | A=2/5 or 5/5, Q(S)=0 | King ask by 5NT | K=1
367   S  6S-S                    Q32.53.K98.AJT75 84.QJ7642.A6.862 AKJT7.AK.JT54.K3 965.T98.Q732.Q94 | 1S-P-1N=1=-P-3N-P-4S-P-4N-P-5D=2=-P-5H-P-6D=3=-P-6S | Forcing 1NT | A=1/5 or 4/5 | !S queen and !D king
368   S  4H-S                    AJT53.J94.98.KJ9 742.T7.K653.T872 Q6.AQ652.AJ4.AQ3 K98.K83.QT72.654 | 1H-P-2H-P-2N-P-3H-P-4C-P-4D-P-4H
369   S  4H-S                    AJT.AK63.Q932.QJ 72.QT4.K754.9853 KQ95.J9752.A8.K6 8643.8.JT6.AT742 | 1H-P-2N=1=-P-4H | Jacoby 2NT
370   S  4S-S                    AQJ653.8543.Q.A3 84.62.KJ982.KQ94 KT2.AKQT7.A76.J8 97.J9.T543.T7652 | 1N-P-2H-P-2S-P-4S
371   S  4H-S                    A.QJ82.Q8762.Q63 QT84.74.JT4.A972 J652.AK953.AK9.K K973.T6.53.JT854 | 1H-P-2N=1=-P-3C=2=-P-4H | Jacoby 2NT | Shortness  !C
372   S  6H-S                    T8.KQ3.97.AKQ843 Q53.75.AT42.9765 AK94.AJT84.KQJ.T J762.962.8653.J2 | 1H-P-2C-P-2S-P-3H-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
373   S  4S-S                    QJ8.AQT73.KT54.A K5.J42.A863.8542 A9743.K6.J72.KQ3 T62.985.Q9.JT976 | 1S-P-2H-P-2N-P-4C=1=-P-4S | Splinter
374   S  6H-S                    T76.Q52.AKQ97.T8 J954.J93.54.K653 AK.AKT84.JT3.A97 Q832.76.862.QJ42 | 1H-P-1N=1=-P-3N-P-6H | Forcing 1NT
375   S  6H-S                    KQJ.Q653.AKJ52.J 4.92.973.QT98762 AT8762.KJ74.Q4.A 953.AT8.T86.K543 | 1S-P-2D-P-2H-P-3H-P-3N-P-4C-P-4N-P-5D=1=-P-5S-P-6D=2=-P-6H | A=1/5 or 4/5 | !H queen and !D king
376   S  3N-S                    AQJ5.T62.83.AQJ5 K2.753.QT962.T63 743.AQ984.AKJ.K7 T986.KJ.754.9842 | 1N-P-2C=1=-P-2H-P-3N | Stayman
377   S  4S-S                    J98.A42.QJ52.KQ9 6.J986.KT3.87642 KT732.KQ75.A8.AJ AQ54.T3.9764.T53 | 1S-P-3N-P-4C-P-4S
378   S  6H-S                    AK86.QT2.A2.K952 43.J86.QT964.QT6 QJ72.AK743.J.A74 T95.95.K8753.J83 | 1H-P-1S-P-3S-P-4N-P-5S=1=-P-5N=2=-P-6D=3=-P-6H | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=1
379   S  6H-S                    KQ8.AQT7.54.KQJ7 T93.5.T93.T65432 A542.K9864.AKQ7. J76.J32.J862.A98 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5S-P-6C=4=-P-6H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5 | !H queen and !C king
380   S  7S-S                    J74.AQT875.A.654 85.J63.QT754.K98 AKT962.K4.KJ3.AJ Q3.92.9862.QT732 | 1S-P-1N=1=-P-3S-P-4N-P-5C=2=-P-5D-P-5S=3=-P-7S | Forcing 1NT | A=0/5 or 3/5 | No !S queen
381   S  6S-S                    AK54.AJ2.Q42.J75 72.Q9853.J87.A96 QJ986.K4.AK3.KQ2 T3.T76.T965.T843 | 1S-P-2N=1=-P-3S-P-3N-P-4C-P-4H-P-4N-P-5C=2=-P-6S | Jacoby 2NT | A=0/5 or 3/5
382   S  6S-S                    K943.AKT4.KT9.KJ Q2.Q9.QJ8742.T82 AJ876.J87.3.AQ74 T5.6532.A65.9653 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4C-P-4H-P-4N-P-5H=3=-P-6S | Jacoby 2NT | Shortness  !D | A=2/5 or 5/5, Q(S)=0
383   S  4H-S                    KT6.K62.Q8.QT976 9852.QT8.JT3.AJ8 AJ7.A9743.AK96.K Q43.J5.7542.5432 | 1H-P-1N=1=-P-3D-P-3H-P-3S-P-4H | Forcing 1NT
384   S  6S-S                    8754.AJ.A7.K9653 J.K86542.Q83.T87 AKQT9.QT7.KJ42.A 632.93.T965.QJ42 | 1S-P-2N=1=-P-3C=2=-P-3D-P-3S-P-4C-P-4H-P-4N-P-5C=3=-P-6S | Jacoby 2NT | Shortness  !C | A=0/5 or 3/5
385   S  6S-S                    KJ64.AKJ.A4.KJ93 T.T74.K97.Q76542 AQ852.Q962.J52.A 973.853.QT863.T8 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4C-P-4H-P-4N-P-5C=3=-P-6S | Jacoby 2NT | Shortness  !C | A=0/5 or 3/5
386   S  4S-S                    AQJ2.AQJ.T9.KJ96 3.KT8643.Q854.53 KT854.92.K76.AQ7 976.75.AJ32.T842 | 1S-P-2N=1=-P-4S | Jacoby 2NT
387   S  6S-S                    QJ53.AK6.AQJ5.QT 7.QT.T9843.J9842 AK862.9543.K76.A T94.J872.2.K7653 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4C-P-4H-P-4N-P-5S=3=-P-5N=4=-P-6D=5=-P-6S | Jacoby 2NT | Shortness  !C | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=1
388   S  4H-S                    Q.Q964.AQ865.Q85 T984.3.K942.KT92 KJ3.AKJ82.J7.A64 A7652.T75.T3.J73 | 1N-P-2C=1=-P-2H-P-4H | Stayman
389   S  4H-S                    A43.K73.KQ95.QJ6 T762.Q8.863.K954 K9.AJ542.AT74.A2 QJ85.T96.J2.T873 | 1H-P-3N-P-4C-P-4H
390   S  7S-S                    KQT52.T2.A532.AK 4.874.KQ9.JT9742 AJ873.AQJ5.7.Q63 96.K963.JT864.85 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4H-P-4N-P-5H=3=-P-7S | Jacoby 2NT | Shortness  !D | A=2/5 or 5/5, Q(S)=0
391   S  5S-S                    QJT.KQ853.AKJ42. 97.J962.53.A9864 K6542.A7.QT.KJT3 A83.T4.9876.Q752 | 1S-P-2H-P-2N-P-4C=1=-P-4S-P-4N-P-5H=2=-P-5S | Splinter | A=2/5 or 5/5, Q(S)=0
392   S  6S-S                    K42.9.AK875.Q752 953.J6432.QT.J86 AQ876.AKT5.J.KT4 JT.Q87.96432.A93 | 1S-P-2D-P-3H-P-3S-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
393   S  6H-S                    AK65.A963.QT3.75 QT8.J4.J.QJT9832 74.KQT82.AK64.A4 J932.75.98752.K6 | 1H-P-2N=1=-P-3H-P-3S-P-4C-P-4N-P-5C=2=-P-5D-P-6D=3=-P-6H | Jacoby 2NT | A=0/5 or 3/5 | !H queen and !D king
394   S  6H-S                    AT2.J53.AQ864.AK Q876.KT96.32.962 K.AQ874.JT9.Q874 J9543.2.K75.JT53 | 1H-P-2D-P-2N-P-3H-P-3S-P-3N-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
395   S  6S-S                    973.K9.QT2.AQ643 K6.JT82.J976.985 AJT85.A754.AK3.K Q42.Q63.854.JT72 | 1S-P-1N=1=-P-3H-P-3S-P-4N-P-5D=2=-P-5H-P-5S=3=-P-6S | Forcing 1NT | A=1/5 or 4/5 | No !S queen
396   S  6H-S                    A872.854.Q6.KJ32 Q93.T3.K985.T976 KJT6.AKQ97.A32.Q 54.J62.JT74.A854 | 1H-P-2H-P-4C=1=-P-4D-P-4N-P-5D=2=-P-6H | Splinter | A=1/5 or 4/5
397   S  7H-S                    A5.Q74.KQJ876.A9 T973.65.T2.QT764 QJ4.AKT983.A53.K K862.J2.94.J8532 | 1H-P-2D-P-3H-P-4N-P-5C=1=-P-5N=2=-P-6D=3=-P-7H | A=0/5 or 3/5 | King ask by 5NT | K=1
398   S  4H-S                    KJ63.Q95.Q7.K832 72.84.K8532.T976 A54.A7632.AT6.AQ QT98.KJT.J94.J54 | 1H-P-1S-P-2N-P-3H-P-4H
399   S  7S-S                    J86.AT.AKJ.AJ752 T9.QJ632.QT53.63 AKQ54.K954.4.KT8 732.87.98762.Q94 | 1S-P-2C-P-3H-P-3S-P-4N-P-5C=1=-P-5N=2=-P-6D=3=-P-7S | A=0/5 or 3/5 | King ask by 5NT | K=1
400   S  4H-S                    KQT9.AQ6.J763.53 J53.T87.Q92.A762 A4.KJ952.AK54.QJ 8762.43.T8.KT984 | 1H-P-1S-P-3D-P-4H
401   S  6H-S                    K843.J975.AQ96.K Q62.A84.T32.Q854 AJ.KQT63.KJ8.A97 T975.2.754.JT632 | 1H-P-2N=1=-P-3H-P-4N-P-5C=2=-P-5D-P-6D=3=-P-6H | Jacoby 2NT | A=0/5 or 3/5 | !H queen and !D king
402   S  4S-S                    J754.AQ7.AQ8.J82 32.T8.T532.KQ964 AKT98.J952.K6.A7 Q6.K643.J974.T53 | 1S-P-2N=1=-P-3N-P-4S | Jacoby 2NT
403   S  4S-S                    AK53.542.K7.Q632 7.JT98.T9543.T75 QT942.KQ.Q8.AKJ8 J86.A763.AJ62.94 | 1S-P-2N=1=-P-3S-P-4D-P-4H-P-4S | Jacoby 2NT
404   S  4H-S                    Q965.KT4.K9.A764 T873.73.QT876.T8 J2.AQJ92.AJ4.KQJ AK4.865.532.9532 | 1H-P-1S-P-2N-P-3H-P-3N-P-4C-P-4H
405   S  6S-S                    QT7.AJ.KT83.K964 J2.8654.A764.J83 AK853.KQ73.95.A5 964.T92.QJ2.QT72 | 1S-P-2C-P-3H-P-3S-P-4C-P-4D-P-4N-P-5D=1=-P-5H-P-6C=2=-P-6S | A=1/5 or 4/5 | !S queen and !C king
406   S  6H-N                    K32.KJT642.8.AQ8 Q98.873.KQ4.J653 AT765.AQ.AT95.K9 J4.95.J7632.T742 | 1S-P-2H-P-3D-P-4S-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(S)=0
407   S  4H-S                    QJ6.KT2.A965.KQT AT9543..T74.A987 K.AJ9743.KQ82.J5 872.Q865.J3.6432 | 1H-P-3N-P-4H
408   S  5S-S                    973.QJT5.AT.AJ72 82.32.QJ6532.543 AQJT654.K94.K.KQ K.A876.9874.T986 | 1S-P-1N=1=-P-4S-P-4N-P-5D=2=-P-5S | Forcing 1NT | A=1/5 or 4/5
409   S  4H-S                    Q873.A97.AT74.Q4 9654.6.986.A9752 AKT.QT8543.KQ.K3 J2.KJ2.J532.JT86 | 1H-P-1S-P-3H-P-4H
410   S  6S-S                    K972.KJT43.6.AK4 Q65.Q8.AQJT4.876 AJT43.A5.K983.QJ 8.9762.752.T9532 | 1S-P-2N=1=-P-3N-P-6S | Jacoby 2NT
411   S  6H-S                    AKQ8.A42.QJT.843 J943.T97.9643.Q2 6.QJ853.AK82.AJ7 T752.K6.75.KT965 | 1H-P-1S-P-2D-P-3C=1=-P-3N-P-4H-P-4N-P-5H=2=-P-6H | Fourth suit game force | A=2/5 or 5/5, Q(H)=0
412   S  6S-S                    A965.7.AK5.JT975 J7.Q9432.T98.AQ4 KQT843.AKJ.J6.K3 2.T865.Q7432.862 | 1S-P-4H=1=-P-4N-P-5H=2=-P-6S | Splinter | A=2/5 or 5/5, Q(S)=0
413   S  6S-S                    K72.A863.KT3.K97 J85.J4.Q954.J864 AQT43.KQ.A2.A532 96.T9752.J876.QT | 1S-P-3N-P-4C-P-4D-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
414   S  6S-S                    KQ2.A943.AQ8.T87 J8.K765.962.AJ64 AT765.QJ.KJT7.K3 943.T82.543.Q952 | 1S-P-2C-P-3D-P-3S-P-3N-P-4D-P-4H-P-4N-P-5D=1=-P-6S | A=1/5 or 4/5
415   S  6H-S                    A7.987.AK9.AKQT5 6.T.QJT76543.J43 QT8543.AKQJ42..6 KJ92.653.82.9872 | 1S-P-2C-4D-4H-P-4N-P-5S=1=-P-5N=2=-P-6C=3=-P-6H | A=2/5 or 5/5, Q(H)=1 | King ask by 5NT | K=0
416   S  4H-S                    AQT.T64.K6.AQ643 96.K7.AQT5432.85 K842.AQJ83.J.KJ9 J753.952.987.T72 | 1H-P-2C-3D-3S-P-4H
417   S  7S-S                    A96.J82.AKQ65.87 8.9543.J92.KQT64 KQJ74.AKQ7.T3.A9 T532.T6.874.J532 | 1S-P-2D-P-3H-P-3S-P-3N-P-4D-P-4H-P-4N-P-5C=1=-P-5D-P-5H=2=-P-7S | A=0/5 or 3/5 | !S queen and !H king
418   S  6H-N                    K96.AK874.Q96.K9 74.J.AJT84.QT752 AQJT52.Q632.K.A3 83.T95.7532.J864 | 1S-P-2H-2N=1=-4N-P-5H=2=-P-6H | Unusual 2NT | A=2/5 or 5/5, Q(H)=0
419   S  5H-S                    Q93.KQT2.A4.Q965 AT754.73.K8653.K KJ.AJ864.Q7.AJ72 862.95.JT92.T843 | 1H-P-2N=1=-P-3H-P-4D-P-4S-P-4N-P-5H=2= | Jacoby 2NT | A=2/5 or 5/5, Q(H)=0
420   S  6H-S                    A864.985.AKT8.AT KJ7.T32.7654.Q87 Q2.AKQJ74.J.J543 T953.6.Q932.K962 | 1H-P-1S-P-2C-P-4H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
421   S  6H-S                    T6.KJ76.AKQJ92.7 AQ874..T864.J986 K5.AQ5432.5.AK52 J932.T98.73.QT43 | 1H-P-4C=1=-P-4D-P-4N-P-5S=2=-P-6H | Splinter | A=2/5 or 5/5, Q(H)=1
422   S  6S-S                    AJ8.A97.A65.QJT6 92.KT542.QJT4.85 QT7643.Q8.K3.AK3 K5.J63.9872.9742 | 1S-P-2C-P-2S-P-3S-P-3N-P-4D-P-4H-P-4N-P-5D=1=-P-5H-P-6C=2=-P-6S | A=1/5 or 4/5 | !S queen and !C king
423   S  4H-S                    QT.852.A987.AK83 AK98753.T4.65.74 4.AKQ763.KQ2.QJ2 J62.J9.JT43.T965 | 1H-P-2C-3S-4H
424   S  6H-S                    AQT6.T853.3.KQT3 987.74.T852.AJ82 K52.AKJ96.AKJ6.6 J43.Q2.Q974.9754 | 1H-P-4D=1=-P-4N-P-5D=2=-P-5S-P-6H=3= | Splinter | A=1/5 or 4/5 | No !H queen
425   S  6S-S                    K853.AQ.A6.KQ875 A7.96432.J87432. JT642.KJT.K.A942 Q9.875.QT95.JT63 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4C-P-4H-P-4S-P-4N-P-5D=3=-P-5H-P-6D=4=-P-6S | Jacoby 2NT | Shortness  !D | A=1/5 or 4/5 | !S queen and !D king
426   S  5S-S                    A842.AK9.T8.K542 K9.J732.A642.T86 QJT76.Q654.KJ.AQ 53.T8.Q9753.J973 | 1S-P-2N=1=-P-3N-P-4C-P-4D-P-4N-P-5D=2=-P-5S | Jacoby 2NT | A=1/5 or 4/5
427   S  6S-S                    AKJ.9643.T4.AQ82 .Q752.A532.KJ975 QT7542.AKT.KQJ.4 9863.J8.9876.T63 | 1S-P-2C-P-3S-P-4N-P-5D=1=-P-6S | A=1/5 or 4/5
428   S  6H-S                    AK.8532.J76.Q632 QT632.T9.KT85.54 J54.AQJ764.AQ.AJ 987.K.9432.KT987 | 1H-P-3H-P-3N-P-4H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
429   S  6S-S                    A97.AKT8.AJ.QJ86 32.QJ643.K9874.T QJ854.92.Q5.AK75 KT6.75.T632.9432 | 1S-P-2C-P-3C-P-3S-P-4S-P-4N-P-5D=1=-P-5H-P-6C=2=-P-6S | A=1/5 or 4/5 | !S queen and !C king
430   S  6H-S                    76.K96.AQT75.Q95 J8542.52.96.JT76 KQ.AQJ83.KJ42.K3 AT93.T74.83.A842 | 1H-P-1N=1=-P-3N-P-6H | Forcing 1NT
431   S  5H-S                    J4.KJ42.QJ64.KQ9 AQ532..8532.J842 K8.Q98653.AK.A63 T976.AT7.T97.T75 | 1H-P-2N=1=-P-3H-P-4C-P-4D-P-4H-P-4N-P-5D=2=-P-5H | Jacoby 2NT | A=1/5 or 4/5
432   S  6S-N                    A952.AJ4.J5.K964 73.Q.9742.AQJ875 KQJ4.KT875.AKQT. T86.9632.863.T32 | 1H-P-1S-P-4C=1=-P-4H-P-4N-P-5H=2=-P-6S | Splinter | A=2/5 or 5/5, Q(S)=0
433   S  6N-S                    KT83.A96.A874.A2 74.52.J532.97653 AQ5.KQ843.KQT.J4 J962.JT7.96.KQT8 | 1N-P-2C=1=-P-2H-P-4N-P-6N | Stayman
434   S  7S-S                    AK74.75.AKT6.A42 JT.J986.75.JT986 Q8532.AK42.QJ9.Q 96.QT3.8432.K753 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4H-P-4N-P-5D=3=-P-5H-P-6H=4=-P-7S | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5 | !S queen and !H king
435   S  6H-S                    AKJ6.742.KQ975.J Q9854.5.JT63.432 7.AKQ98.A84.AQ75 T32.JT63.2.KT986 | 1H-P-2D-P-3N-P-6H
436   S  6S-S                    K762.84.AKQ53.Q4 8.A732.JT76.KJ95 AQT943.KQ95..A76 J5.JT6.9842.T832 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4N-P-5H=3=-P-6S | Jacoby 2NT | Shortness  !D | A=2/5 or 5/5, Q(S)=0
437   S  6H-S                    Q.QT7.AQT.AJ8764 K972.J9862.73.KT AJT6.AK543.KJ42. 8543..9865.Q9532 | 1H-P-2C-P-2S-P-3H-P-4N-P-5S=1=-P-5N=2=-P-6C=3=-P-6H | A=2/5 or 5/5, Q(H)=1 | King ask by 5NT | K=0
438   S  5S-S                    QJ4.6.AKQ942.KQ6 .QJT842.J765.543 A98532.AK97.3.JT KT76.53.T8.A9872 | 1S-P-2D-P-2H-P-2S-P-3D-P-3H-P-4N-P-5D=1=-P-5S | A=1/5 or 4/5
439   S  6S-S                    Q53.A4.KT986.AT5 8.QT9752.AJ42.J8 AKJ974.K.753.KQ7 T62.J863.Q.96432 | 1S-P-2D-P-3S-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
440   S  6S-S                    JT92.AJ.A96.K976 76.Q9742.KQ84.T8 AKQ54.K6.JT2.AQ3 83.T853.753.J542 | 1S-P-2N=1=-P-3S-P-4N-P-5C=2=-P-6S | Jacoby 2NT | A=0/5 or 3/5
441   S  4H-S                    Q8.AK54.976.QJT3 9543.2.J85.K9864 KJ7.QT976.AKQT.A AT62.J83.432.752 | 1H-P-2N=1=-P-3C=2=-P-4H | Jacoby 2NT | Shortness  !C
442   S  6H-S                    K862.A53.AQ2.KQ7 J953.972.987.T98 A.QJT64.KJ4.AJ32 QT74.K8.T653.654 | 1H-P-2C-P-3S=1=-P-4D-P-4S-P-6H | Splinter
443   S  5S-S                    JT632.Q7.AQJ4.QJ 5.JT4.T973.A9543 AKQ97.A96.K5.KT7 84.K8532.862.862 | 1S-P-2N=1=-P-3S-P-4D-P-4H-P-4S-P-4N-P-5D=2=-P-5S | Jacoby 2NT | A=1/5 or 4/5
444   S  6H-S                    Q86.K765.AQ.QJ53 KJT7.32.J974.964 32.AQJ84.K63.AK7 A954.T9.T852.T82 | 1N-P-2C=1=-P-2H-P-3S-P-4C-P-4H-P-4N-P-5H=2=-P-6H | Stayman | A=2/5 or 5/5, Q(H)=0
445   S  6H-S                    AQT.953.JT874.AJ KJ76.6.K93.T8632 8.KQJT4.AQ62.KQ7 95432.A872.5.954 | 1H-P-1N=1=-P-3D-P-3H-P-3S-P-4C-P-4H-P-4N-P-5S=2=-P-6H | Forcing 1NT | A=2/5 or 5/5, Q(H)=1
